"scenario_id","residual_loss"
"sha256:ff2d3-r2j-00219","30433.847850484708"
"sha256:ff2d3-r2j-00220","23015.654170333342"
"sha256:ff2d3-r2j-00221","24424.153537716156"
"sha256:ff2d3-r2j-00222","29950.351067290932"
"sha256:ff2d3-r2j-00223","59139.125459371426"
"sha256:ff2d3-r2j-00224","16528.42791012826"
"sha256:ff2d3-r2j-00225","59607.56687245737"
"sha256:ff2d3-r2j-00226","46268.8039742209"
"sha256:ff2d3-r2j-00227","64415.99802087045"
"sha256:ff2d3-r2j-00228","36552.541819771825"
"sha256:ff2d3-r2j-00229","25805.080003784235"
"sha256:ff2d3-r2j-00230","29950.351067290932"
"sha256:ff2d3-r2j-00231","29119.753552454622"
"sha256:ff2d3-r2j-00232","21793.818223159273"
"sha256:ff2d3-r2j-00233","23628.76888913217"
"sha256:ff2d3-r2j-00234","-831.4093174107984"
"sha256:ff2d3-r2j-00235","29950.351067290932"
"sha256:ff2d3-r2j-00236","46856.911881392916"
"sha256:ff2d3-r2j-00237","84937.98571640268"
"sha256:ff2d3-r2j-00238","30937.985201583535"
"sha256:ff2d3-r2j-00239","8511.17843461557"
"sha256:ff2d3-r2j-00240","36931.513877616555"
"sha256:ff2d3-r2j-00241","8307.760659974152"
"sha256:ff2d3-r2j-00242","35807.332233124405"
"sha256:ff2d3-r2j-00243","37868.956347628264"
"sha256:ff2d3-r2j-00244","30495.647015721184"
"sha256:ff2d3-r2j-00245","31396.017881141335"
"sha256:ff2d3-r2j-00246","52134.513938985685"
"sha256:ff2d3-r2j-00247","29950.351067290932"
"sha256:ff2d3-r2j-00248","23287.15132308603"
"sha256:ff2d3-r2j-00249","35492.12593290658"
"sha256:ff2d3-r2j-00250","29950.351067290932"
"sha256:ff2d3-r2j-00251","59833.128919552095"
"sha256:ff2d3-r2j-00252","16079.683980652864"
"sha256:ff2d3-r2j-00253","25887.970000997404"
"sha256:ff2d3-r2j-00254","29950.351067290932"
"sha256:ff2d3-r2j-00255","66451.19956908823"
"sha256:ff2d3-r2j-00256","40387.01111056772"
"sha256:ff2d3-r2j-00257","27319.328268111654"
"sha256:ff2d3-r2j-00258","30467.513602618463"
"sha256:ff2d3-r2j-00259","21815.46520304819"
"sha256:ff2d3-r2j-00260","25270.87407873178"
"sha256:ff2d3-r2j-00261","4868.6279211390065"
"sha256:ff2d3-r2j-00262","8839.344565206382"
"sha256:ff2d3-r2j-00263","19111.659433931978"
"sha256:ff2d3-r2j-00264","29950.351067290932"
"sha256:ff2d3-r2j-00265","6437.341873360681"
"sha256:ff2d3-r2j-00266","29950.351067290932"
"sha256:ff2d3-r2j-00267","-4042.402934189362"
"sha256:ff2d3-r2j-00268","29950.351067290932"
"sha256:ff2d3-r2j-00269","28560.547305245072"
"sha256:ff2d3-r2j-00270","31716.614585624367"
"sha256:ff2d3-r2j-00271","10965.078151717622"
"sha256:ff2d3-r2j-00272","29950.351067290932"
"sha256:ff2d3-r2j-00273","45531.474040230794"
"sha256:ff2d3-r2j-00274","-1021.5862214147055"
"sha256:ff2d3-r2j-00275","1480.834429311617"
"sha256:ff2d3-r2j-00276","60404.20115659395"
"sha256:ff2d3-r2j-00277","18192.649511275726"
"sha256:ff2d3-r2j-00278","35118.21909660287"
"sha256:ff2d3-r2j-00279","17248.98507193857"
"sha256:ff2d3-r2j-00280","29950.351067290932"
"sha256:ff2d3-r2j-00281","26855.282926851898"
