"scenario_id","residual_loss"
"sha256:ff2d3-r2j-00389","16951.42447086659"
"sha256:ff2d3-r2j-00390","30164.667884836388"
"sha256:ff2d3-r2j-00391","20024.77760172596"
"sha256:ff2d3-r2j-00392","25580.22659108143"
"sha256:ff2d3-r2j-00393","31261.70573171139"
"sha256:ff2d3-r2j-00394","25945.500473552136"
"sha256:ff2d3-r2j-00395","-10472.215810407826"
"sha256:ff2d3-r2j-00396","29054.34022598095"
"sha256:ff2d3-r2j-00397","67201.32714860096"
"sha256:ff2d3-r2j-00398","30634.762755258373"
"sha256:ff2d3-r2j-00399","29054.34022598095"
"sha256:ff2d3-r2j-00400","38271.23395545369"
"sha256:ff2d3-r2j-00401","51292.33606652088"
"sha256:ff2d3-r2j-00402","29054.34022598095"
"sha256:ff2d3-r2j-00403","29054.34022598095"
"sha256:ff2d3-r2j-00404","-13397.982747384449"
"sha256:ff2d3-r2j-00405","2731.7013087083906"
"sha256:ff2d3-r2j-00406","29964.29889850445"
"sha256:ff2d3-r2j-00407","29054.34022598095"
"sha256:ff2d3-r2j-00408","4247.397987014963"
"sha256:ff2d3-r2j-00409","-708.1183747388859"
"sha256:ff2d3-r2j-00410","79465.86689591542"
"sha256:ff2d3-r2j-00411","27595.586896306042"
"sha256:ff2d3-r2j-00412","42719.86374718495"
"sha256:ff2d3-r2j-00413","29054.34022598095"
"sha256:ff2d3-r2j-00414","29459.188622702983"
"sha256:ff2d3-r2j-00415","12650.828574594314"
"sha256:ff2d3-r2j-00416","27799.927573567773"
"sha256:ff2d3-r2j-00417","29054.34022598095"
"sha256:ff2d3-r2j-00418","11168.841538542372"
"sha256:ff2d3-r2j-00419","29054.34022598095"
"sha256:ff2d3-r2j-00420","19486.460192106824"
"sha256:ff2d3-r2j-00421","20336.271774601933"
"sha256:ff2d3-r2j-00422","-4724.371656501578"
"sha256:ff2d3-r2j-00423","28183.035713139918"
"sha256:ff2d3-r2j-00424","26660.099175325588"
"sha256:ff2d3-r2j-00425","21800.03698414784"
"sha256:ff2d3-r2j-00426","48246.94114215565"
"sha256:ff2d3-r2j-00427","29054.34022598095"
"sha256:ff2d3-r2j-00428","27355.955136735727"
"sha256:ff2d3-r2j-00429","29054.34022598095"
"sha256:ff2d3-r2j-00430","33467.44020641346"
"sha256:ff2d3-r2j-00431","6137.7218819017435"
"sha256:ff2d3-r2j-00432","19799.697238640023"
"sha256:ff2d3-r2j-00433","29054.34022598095"
"sha256:ff2d3-r2j-00434","42036.354973443034"
"sha256:ff2d3-r2j-00435","29054.34022598095"
"sha256:ff2d3-r2j-00436","17879.544297575572"
"sha256:ff2d3-r2j-00437","69386.23367819081"
"sha256:ff2d3-r2j-00438","29054.34022598095"
"sha256:ff2d3-r2j-00439","29054.34022598095"
"sha256:ff2d3-r2j-00440","21366.44220519277"
"sha256:ff2d3-r2j-00441","58953.24381090565"
"sha256:ff2d3-r2j-00442","34999.54455333729"
"sha256:ff2d3-r2j-00443","22284.392394108774"
"sha256:ff2d3-r2j-00444","29054.34022598095"
"sha256:ff2d3-r2j-00445","24400.367983383374"
"sha256:ff2d3-r2j-00446","45444.07658563328"
"sha256:ff2d3-r2j-00447","39035.333449821665"
"sha256:ff2d3-r2j-00448","34661.95590607167"
"sha256:ff2d3-r2j-00449","15938.441139323622"
"sha256:ff2d3-r2j-00450","29900.180990026667"
"sha256:ff2d3-r2j-00451","14780.216993864633"
"sha256:ff2d3-r2j-00452","21154.072741081432"
"sha256:ff2d3-r2j-00453","29054.34022598095"
"sha256:ff2d3-r2j-00454","18076.25682755604"
"sha256:ff2d3-r2j-00455","33923.980700444605"
"sha256:ff2d3-r2j-00456","7878.606986784558"
"sha256:ff2d3-r2j-00457","29054.34022598095"
"sha256:ff2d3-r2j-00458","21164.035148185925"
"sha256:ff2d3-r2j-00459","29054.34022598095"
"sha256:ff2d3-r2j-00460","54137.80865363903"
"sha256:ff2d3-r2j-00461","58588.066559440806"
"sha256:ff2d3-r2j-00462","32292.233158872798"
"sha256:ff2d3-r2j-00463","40064.51844879627"
"sha256:ff2d3-r2j-00464","29125.873739050105"
"sha256:ff2d3-r2j-00465","29054.34022598095"
"sha256:ff2d3-r2j-00466","12936.122942814822"
"sha256:ff2d3-r2j-00467","30303.590580747798"
"sha256:ff2d3-r2j-00468","29054.34022598095"
"sha256:ff2d3-r2j-00469","20077.06678695851"
"sha256:ff2d3-r2j-00470","11759.892456950569"
"sha256:ff2d3-r2j-00471","37362.40137267323"
"sha256:ff2d3-r2j-00472","54553.18473453846"
"sha256:ff2d3-r2j-00473","44166.704353923225"
"sha256:ff2d3-r2j-00474","3853.8228498491335"
"sha256:ff2d3-r2j-00475","-1374.6968690580325"
"sha256:ff2d3-r2j-00476","23742.939487712298"
"sha256:ff2d3-r2j-00477","24093.952596257208"
"sha256:ff2d3-r2j-00478","29054.34022598095"
"sha256:ff2d3-r2j-00479","39359.431650754355"
"sha256:ff2d3-r2j-00480","36300.81213326893"
"sha256:ff2d3-r2j-00481","24041.025721330458"
"sha256:ff2d3-r2j-00482","21720.100412126354"
"sha256:ff2d3-r2j-00483","29054.34022598095"
"sha256:ff2d3-r2j-00484","29054.34022598095"
"sha256:ff2d3-r2j-00485","17940.314905632215"
"sha256:ff2d3-r2j-00486","29054.34022598095"
"sha256:ff2d3-r2j-00487","17125.913611198615"
"sha256:ff2d3-r2j-00488","29054.34022598095"
"sha256:ff2d3-r2j-00489","13979.379913054087"
"sha256:ff2d3-r2j-00490","11279.349995866589"
"sha256:ff2d3-r2j-00491","17826.214380143938"
"sha256:ff2d3-r2j-00492","12058.997441838263"
"sha256:ff2d3-r2j-00493","-4690.164274836527"
"sha256:ff2d3-r2j-00494","7948.684270552258"
"sha256:ff2d3-r2j-00495","18752.281118425177"
"sha256:ff2d3-r2j-00496","43819.28949679432"
"sha256:ff2d3-r2j-00497","20700.96064606191"
"sha256:ff2d3-r2j-00498","29114.927394187358"
"sha256:ff2d3-r2j-00499","46027.43752457753"
"sha256:ff2d3-r2j-00500","29054.34022598095"
"sha256:ff2d3-r2j-00501","40573.58654193707"
"sha256:ff2d3-r2j-00502","27686.600053157617"
"sha256:ff2d3-r2j-00503","38867.96002082653"
"sha256:ff2d3-r2j-00504","23713.837345573615"
"sha256:ff2d3-r2j-00505","59143.556334303095"
"sha256:ff2d3-r2j-00506","29054.34022598095"
"sha256:ff2d3-r2j-00507","24844.244692399792"
"sha256:ff2d3-r2j-00508","-4453.41367700939"
"sha256:ff2d3-r2j-00509","17795.88313147793"
"sha256:ff2d3-r2j-00510","25119.958605827524"
"sha256:ff2d3-r2j-00511","17291.32900343495"
"sha256:ff2d3-r2j-00512","24048.636875847056"
"sha256:ff2d3-r2j-00513","54223.72672466336"
